100	0.038577699661254884
100	0.01587710380554199	0.001361226256300133
100	0.014799141883850097	0.0008686276083921411
200	0.10680923461914063	0.002556845938214787
300	0.4085789442062378	0.0070471895976261375
400	1.953838849067688	0.727842913031078
500	2.154741811752319	0.2980783034219699
600	4.399437594413757	1.6011140471145735
700	11.3982990026474	5.108360457576673
800	11.843788194656373	6.195020657635262
900	21.978879618644715	11.875685849268402
1000	28.274470114707945	11.64107456803638
100	0.0017162084579467774	0.005148625373840333
200	0.008142328262329102	0.008179752585491822
300	0.01987273693084717	0.010000562508267759
400	0.03284676074981689	0.007941611898204354
500	0.050032305717468264	0.010532069124524566
600	0.08499600887298583	0.011549500737890406
700	0.10831127166748047	0.017081768119826556
800	0.1199810266494751	0.009987669809357275
900	0.15995078086853026	0.021123531146382397
1000	0.218390154838562	0.042588491767066694
100	0.001666426658630371	0.004999279975891113
200	0.009996891021728516	0.011055031977652584
300	0.020000195503234862	0.009987053121278736
400	0.03500223159790039	0.008557269842891877
500	0.05997598171234131	0.01981718416988554
600	0.06498250961303711	0.011452008292877945
700	0.09998049736022949	0.010502613346125301
800	0.13330178260803222	0.019379769707961507
900	0.18328776359558105	0.022523640678318847
1000	0.24484941959381104	0.038681264052471395
100	0.0016475439071655274	0.0049426317214965815
200	0.0034402132034301756	0.0066271257821559435
300	0.015111780166625977	0.011675864226404988
400	0.03500020503997803	0.013800039373797144
500	0.053319573402404785	0.014298433001904575
600	0.06999714374542236	0.00998204199831494
700	0.09330942630767822	0.011065092068196412
800	0.12498199939727783	0.011000204498695055
900	0.15496246814727782	0.024517628531877198
1000	0.19661376476287842	0.017639311472461863
100	0.0016712665557861329	0.004662832314643405
200	0.004954743385314942	0.007568973220153115
300	0.018340396881103515	0.011653990484143513
400	0.03166522979736328	0.011648560852448626
500	0.04831845760345459	0.013774813000111992
600	0.0783191204071045	0.018835886246908032
700	0.09830522537231445	0.011462703696929118
800	0.12497518062591553	0.02368311946565509
900	0.1533463716506958	0.02315345695373981
1000	0.24494850635528564	0.013925260385717453
