100	0.001998758316040039
200	0.0038159370422363283
100	0.0006253242492675782	0.0005155507564419226
100	0.00047326087951660156	0.0004791306651851831
200	0.0018970012664794923	0.0005341910106245961
300	0.005998969078063965	0.0017890683788626747
400	0.01058962345123291	0.0026852926805920694
500	0.02136728763580322	0.004465453795359839
600	0.0222912073135376	0.007495593438637222
700	0.026968741416931154	0.004783440639484508
800	0.032998299598693846	0.007020255443145359
900	0.060332441329956056	0.016702163835523268
1000	0.07120115756988525	0.012458710705661182
100	0.0016437530517578124	0.004810194561856873
200	0.003296375274658203	0.004640546943183429
300	0.004983258247375488	0.007612368104790804
400	0.007947564125061035	0.006969757555114809
500	0.009884381294250488	0.008076019394558383
600	0.022024083137512206	0.006985792253295247
700	0.03332786560058594	0.01050763554234779
800	0.03324441909790039	0.010363153718189761
900	0.05001866817474365	0.010630887642729773
1000	0.06122324466705322	0.0077288732283571976
100	0.0	0.0
200	0.003227901458740234	0.006459898281283785
300	0.006686282157897949	0.008189132119766306
400	0.006662511825561523	0.008162722268213875
500	0.014988422393798828	0.011654461781372881
600	0.019983792304992677	0.010099443858223154
700	0.05901966094970703	0.04626310330002213
800	0.03502979278564453	0.013689390611536094
900	0.04666578769683838	0.009991662082221268
1000	0.07510180473327636	0.011137697915246197
100	0.0	0.0
200	0.001670241355895996	0.005010724067687988
300	0.0050051212310791016	0.007645819701517579
400	0.006668281555175781	0.007992882188024991
500	0.016666889190673828	0.007243356493980199
600	0.02832789421081543	0.01301376763890909
700	0.025121855735778808	0.00841110625644748
800	0.033345389366149905	0.012905627275236909
900	0.041458654403686526	0.012530217652193872
1000	0.08341658115386963	0.016703097104448235
100	0.0	0.0
200	0.0033765077590942384	0.0067562997281815276
300	0.0033347368240356444	0.006669600964216583
400	0.009986329078674316	0.007953836874832467
500	0.011668062210083008	0.010679831931549066
600	0.01997530460357666	0.012448499079132355
700	0.023354434967041017	0.008119469087208443
800	0.03833796977996826	0.013012687608664655
900	0.0415574312210083	0.01715387288022918
1000	0.06651828289031983	0.013496373299571299
