100	0.0
200	0.0
100	0.0016539812088012696	0.004961943626403808
200	0.013306498527526855	0.0099627796557965
300	0.04305622577667236	0.011989389362219266
400	0.09244911670684815	0.009511537032218985
500	0.17318007946014405	0.010829440767420644
600	0.29667887687683103	0.010290129654365994
700	0.47310571670532225	0.01992200173536525
800	0.7581394195556641	0.05508159347807788
900	1.3296395063400268	0.40552017018542474
1000	1.396842360496521	0.08753070281737539
100	0.0016680002212524415	0.005004000663757324
200	0.011682581901550294	0.006911621492203737
300	0.039989280700683597	0.007504807722130077
400	0.10682616233825684	0.022299756593893286
500	0.17658817768096924	0.013072512746056052
600	0.31186106204986574	0.010968941717092185
700	0.46653261184692385	0.0097512339598687
800	0.739795446395874	0.0507536540284144
900	1.1480232238769532	0.09646997333707918
1000	1.592989945411682	0.12175337932457969
100	0.0016526222229003907	0.004957866668701172
200	0.016654443740844727	0.010648595536388325
300	0.043282270431518555	0.008039949262108687
400	0.10997092723846436	0.016915299418400316
500	0.20670533180236816	0.026973573172289114
600	0.3347963571548462	0.032401538965702865
700	0.5164645910263062	0.05911877605985849
800	0.6899046659469604	0.016997695257847202
900	1.0047937631607056	0.08624848795240143
1000	1.619127130508423	0.09577273895969006
100	0.0032442808151245117	0.0064890239979841615
200	0.011620569229125976	0.007608009741047617
300	0.03664374351501465	0.006737299893713041
400	0.07996079921722413	0.006375033983485043
500	0.20827295780181884	0.01867814562528008
600	0.4032261848449707	0.03995985731802616
700	0.4581946134567261	0.011141124054586494
800	0.7214564561843873	0.07175203705910979
900	0.964722752571106	0.011783864203252321
1000	1.7127849578857421	0.3835642533850946
100	0.00164642333984375	0.004939270019531251
200	0.011977028846740723	0.006377075202480623
300	0.03831007480621338	0.007724380243437699
400	0.08988118171691895	0.010881322406600917
500	0.17493979930877684	0.00832912230021883
600	0.28990113735198975	0.013288973252116776
700	0.474857234954834	0.03560071439037314
800	0.728118109703064	0.06873374699370138
900	0.9913907766342163	0.013421423443150417
1000	1.937840223312378	0.21480935618784058
